"source_dataset","catalog_index","image_set","category","image_name","width","height","expected_has_oil","scene_id","scene_source","ID_3","ID_2","split"
"DARTIS_2019","5444","nc","no_oil_coast","nc-0281-04-000002.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190105T035928_20190105T035953_025337_02CDDA_E728.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190105T035928_20190105T035953_025337_02CDDA_E728.SAFE","S1_20190105_035928_040108_VV_7","external_test"
"DARTIS_2019","5241","nc","no_oil_coast","nc-0078-01-000002.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190111T154836_20190111T154901_025432_02D14A_E884.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190111T154836_20190111T154901_025432_02D14A_E884.SAFE","S1_20190111_154836_155016_VV_27","external_test"
"DARTIS_2019","5166","nc","no_oil_coast","nc-0003-00-000003.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190119T034323_20190119T034348_025541_02D53C_8F34.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190119T034323_20190119T034348_025541_02D53C_8F34.SAFE","S1_20190119_034258_034438_VV_67","external_test"
"DARTIS_2019","5329","nc","no_oil_coast","nc-0166-02-000006.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190205T035231_20190205T035258_025789_02DE41_06AE.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190205T035231_20190205T035258_025789_02DE41_06AE.SAFE","S1_20190205_035116_035258_VV_63","external_test"
"DARTIS_2019","5249","nc","no_oil_coast","nc-0086-01-000010.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190315T033454_20190315T033519_026343_02F229_357D.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190315T033454_20190315T033519_026343_02F229_357D.SAFE","S1_20190315_033454_033634_VV_4","external_test"
"DARTIS_2019","5339","nc","no_oil_coast","nc-0176-02-000016.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190324T154951_20190324T155016_026482_02F74C_6262.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190324T154951_20190324T155016_026482_02F74C_6262.SAFE","S1_20190324_154836_155016_VV_100","external_test"
"DARTIS_2019","5253","nc","no_oil_coast","nc-0090-01-000014.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190406T035117_20190406T035142_026664_02FE02_C5A5.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190406T035117_20190406T035142_026664_02FE02_C5A5.SAFE","S1_20190406_035117_035258_VV_208","external_test"
"DARTIS_2019","5254","nc","no_oil_coast","nc-0091-01-000015.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190406T035117_20190406T035142_026664_02FE02_C5A5.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190406T035117_20190406T035142_026664_02FE02_C5A5.SAFE","S1_20190406_035117_035258_VV_48","external_test"
"DARTIS_2019","5345","nc","no_oil_coast","nc-0182-02-000022.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190413T034322_20190413T034347_026766_0301B4_A868.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190413T034322_20190413T034347_026766_0301B4_A868.SAFE","S1_20190413_034257_034437_VV_104","external_test"
"DARTIS_2019","5467","nc","no_oil_coast","nc-0304-04-000025.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190507T034258_20190507T034323_027116_030E69_363D.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190507T034258_20190507T034323_027116_030E69_363D.SAFE","S1_20190507_034258_034438_VV_38","external_test"
"DARTIS_2019","5351","nc","no_oil_coast","nc-0188-02-000028.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190511T154927_20190511T154952_027182_031070_998B.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190511T154927_20190511T154952_027182_031070_998B.SAFE","S1_20190511_154837_155017_VV_174","external_test"
"DARTIS_2019","5194","nc","no_oil_coast","nc-0031-00-000031.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190530T154125_20190530T154150_027459_031913_1260.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190530T154125_20190530T154150_027459_031913_1260.SAFE","S1_20190530_154010_154150_VV_102","external_test"
"DARTIS_2019","5417","nc","no_oil_coast","nc-0254-03-000019.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190530T154125_20190530T154150_027459_031913_1260.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190530T154125_20190530T154150_027459_031913_1260.SAFE","S1_20190530_154010_154150_VV_40","external_test"
"DARTIS_2019","5265","nc","no_oil_coast","nc-0102-01-000026.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190531T034300_20190531T034325_027466_031954_5014.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190531T034300_20190531T034325_027466_031954_5014.SAFE","S1_20190531_034300_034440_VV_200","external_test"
"DARTIS_2019","5202","nc","no_oil_coast","nc-0039-00-000039.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190711T035121_20190711T035146_028064_032B5E_8132.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190711T035121_20190711T035146_028064_032B5E_8132.SAFE","S1_20190711_035121_035303_VV_37","external_test"
"DARTIS_2019","5277","nc","no_oil_coast","nc-0114-01-000038.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190725T033525_20190725T033550_028268_03317E_4073.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190725T033525_20190725T033550_028268_03317E_4073.SAFE","S1_20190725_033500_033640_VV_35","external_test"
"DARTIS_2019","5476","nc","no_oil_coast","nc-0313-04-000034.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190728T035933_20190728T035958_028312_0332E7_D8BB.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190728T035933_20190728T035958_028312_0332E7_D8BB.SAFE","S1_20190728_035933_040113_VV_16","external_test"
"DARTIS_2019","5361","nc","no_oil_coast","nc-0198-02-000038.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190730T034303_20190730T034328_028341_0333D2_2F03.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190730T034303_20190730T034328_028341_0333D2_2F03.SAFE","S1_20190730_034303_034443_VV_47","external_test"
"DARTIS_2019","5424","nc","no_oil_coast","nc-0261-03-000026.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190730T034303_20190730T034328_028341_0333D2_2F03.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190730T034303_20190730T034328_028341_0333D2_2F03.SAFE","S1_20190730_034303_034443_VV_26","external_test"
"DARTIS_2019","5209","nc","no_oil_coast","nc-0046-00-000046.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190809T040049_20190809T040114_028487_03384A_86C8.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190809T040049_20190809T040114_028487_03384A_86C8.SAFE","S1_20190809_035934_040114_VV_47","external_test"
"DARTIS_2019","5283","nc","no_oil_coast","nc-0120-01-000044.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190815T154958_20190815T155023_028582_033B99_BECB.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190815T154958_20190815T155023_028582_033B99_BECB.SAFE","S1_20190815_154843_155023_VV_95","external_test"
"DARTIS_2019","5287","nc","no_oil_coast","nc-0124-01-000048.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190827T154843_20190827T154908_028757_0341B2_CC65.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190827T154843_20190827T154908_028757_0341B2_CC65.SAFE","S1_20190827_154843_155023_VV_44","external_test"
"DARTIS_2019","5213","nc","no_oil_coast","nc-0050-00-000050.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190902T035935_20190902T040000_028837_03447B_7C6D.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190902T035935_20190902T040000_028837_03447B_7C6D.SAFE","S1_20190902_035935_040115_VV_16","external_test"
"DARTIS_2019","5427","nc","no_oil_coast","nc-0264-03-000029.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190904T034355_20190904T034420_028866_034579_B50C.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190904T034355_20190904T034420_028866_034579_B50C.SAFE","S1_20190904_034305_034445_VV_77","external_test"
"DARTIS_2019","5219","nc","no_oil_coast","nc-0056-00-000056.jpg","640","640","0","S1A_IW_GRDH_1SDV_20190920T154844_20190920T154909_029107_034DCE_58F5.SAFE","ID_3","S1A_IW_GRDH_1SDV_20190920T154844_20190920T154909_029107_034DCE_58F5.SAFE","S1_20190920_154844_155024_VV_18","external_test"
